id,exam_season_id,eventId,academicYrId,csId,pattern,CourseCode,Program,sem,Subject,prn_no,inst_code,GraceMarks,GraceMarksType,RevaluationMarks,TotalMarks,Outof100Marks,GradePoints,CreditsforResult,SubjectGPA,MarksforGrade,Grade,Result,GraceMarksOrdinance,IsAbsent,State,UnfairMeansCase,ContinuousAssessment1Marks,ContinuousAssessment2Marks,MidExamMarks,SessionalExamMarks,InternalPracticalMarks,PracticalMarks,EndExamMarks,RemedialMarks,RevaluationMarks1,InternalSessional1,TW,PR_OR,subject_group,created_at,updated_at,deleted_at,created_by,updated_by,deleted_by
1,62,5,5,NULL,2021,11191,BTECH_CIVILENG_SEM3#2021,3,BTBS301,T2121161191565,2116,0,,,65,65,6.5,4,26,65,CD,Pass,,No,Published,,7,7,9,,,,42,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
2,62,5,5,NULL,2021,11370,ENC_SEM3#2021,3,BTBS301,T2141901370527,4190,0,,,44,44,5,4,20,44,EE,Pass,,No,Published,,9,8,12,,,,15,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
3,62,5,5,NULL,2021,11370,ENC_SEM3#2021,3,BTBS301,T2141901370529,4190,0,,,71,71,7.5,4,30,71,BC,Pass,,No,Published,,8,8,16,,,,39,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
4,62,5,5,NULL,2021,11370,ENC_SEM3#2021,3,BTBS301,T2141901370528,4190,0,,,62,62,6.5,4,26,62,CD,Pass,,No,Published,,9,9,14,,,,30,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
5,62,5,5,NULL,2021,11293,BTECH_ELEENG_SEM3#2021,3,BTBS301,T2121361293546,2136,0,,,52,52,5.5,4,22,52,DE,Pass,,No,Published,No,8,7,18,,,,19,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
6,62,5,5,NULL,2021,11612,BTECH_MECHENG_SEM3#2021,3,BTBS301,T2121361612568,2136,0,,,43,43,5,4,20,43,EE,Pass,,No,Published,No,7,7,17,,,,12,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
7,62,5,5,NULL,2021,11612,BTECH_MECHENG_SEM3#2021,3,BTBS301,T2121361612569,2136,0,,,52,52,5.5,4,22,52,DE,Pass,,No,Published,No,7,7,18,,,,20,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
8,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245098,5103,0,,,59,59,6,4,24,59,DD,Pass,,No,Published,,9,9,18,,,,23,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
9,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245099,5103,0,,,80,80,8,4,32,80,BB,Pass,,No,Published,,9,9,18,,,,44,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
10,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245100,5103,0,,,73,73,7.5,4,30,73,BC,Pass,,No,Published,,9,9,18,,,,37,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
11,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245101,5103,0,,,79,79,8,4,32,79,BB,Pass,,No,Published,,9,8,17,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
12,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245102,5103,0,,,86,86,9,4,36,86,AA,Pass,,No,Published,,8,9,19,,,,50,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
13,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245103,5103,0,,,79,79,8,4,32,79,BB,Pass,,No,Published,,9,9,18,,,,43,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
14,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245104,5103,0,,,78,78,8,4,32,78,BB,Pass,,No,Published,,9,9,18,,,,42,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
15,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245105,5103,0,,,77,77,8,4,32,77,BB,Pass,,No,Published,,9,8,17,,,,43,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
16,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245106,5103,0,,,78,78,8,4,32,78,BB,Pass,,No,Published,,9,9,18,,,,42,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
17,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245107,5103,0,,,72,72,7.5,4,30,72,BC,Pass,,No,Published,,9,8,17,,,,38,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
18,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245108,5103,0,,,80,80,8,4,32,80,BB,Pass,,No,Published,,9,9,18,,,,44,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
19,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245109,5103,0,,,70,70,7,4,28,70,CC,Pass,,No,Published,,9,9,18,,,,34,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
20,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245110,5103,0,,,80,80,8,4,32,80,BB,Pass,,No,Published,,9,8,17,,,,46,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
21,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245111,5103,0,,,68,68,7,4,28,68,CC,Pass,,No,Published,,9,9,18,,,,32,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
22,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245112,5103,0,,,85,85,8.5,4,34,85,AB,Pass,,No,Published,,9,9,18,,,,49,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
23,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245113,5103,0,,,73,73,7.5,4,30,73,BC,Pass,,No,Published,,8,8,18,,,,39,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
24,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245114,5103,0,,,70,70,7,4,28,70,CC,Pass,,No,Published,,9,9,18,,,,34,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
25,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245115,5103,0,,,82,82,8.5,4,34,82,AB,Pass,,No,Published,,9,9,18,,,,46,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
26,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245116,5103,0,,,71,71,7.5,4,30,71,BC,Pass,,No,Published,,9,8,17,,,,37,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
27,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245117,5103,0,,,81,81,8.5,4,34,81,AB,Pass,,No,Published,,8,9,19,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
28,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245118,5103,0,,,72,72,7.5,4,30,72,BC,Pass,,No,Published,,9,9,18,,,,36,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
29,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245119,5103,0,,,80,80,8,4,32,80,BB,Pass,,No,Published,,9,8,17,,,,46,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
30,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245120,5103,0,,,87,87,9,4,36,87,AA,Pass,,No,Published,,9,9,18,,,,51,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
31,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245121,5103,0,,,81,81,8.5,4,34,81,AB,Pass,,No,Published,,9,9,18,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
32,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245122,5103,0,,,73,73,7.5,4,30,73,BC,Pass,,No,Published,,8,9,19,,,,37,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
33,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245123,5103,0,,,77,77,8,4,32,77,BB,Pass,,No,Published,,9,8,17,,,,43,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
34,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245124,5103,0,,,82,82,8.5,4,34,82,AB,Pass,,No,Published,,8,9,18,,,,47,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
35,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245125,5103,0,,,64,64,6.5,4,26,64,CD,Pass,,No,Published,,9,9,18,,,,28,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
36,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245126,5103,0,,,80,80,8,4,32,80,BB,Pass,,No,Published,,9,9,18,,,,44,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
37,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245127,5103,0,,,81,81,8.5,4,34,81,AB,Pass,,No,Published,,10,9,19,,,,43,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
38,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245128,5103,0,,,72,72,7.5,4,30,72,BC,Pass,,No,Published,,9,9,18,,,,36,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
39,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245129,5103,0,,,78,78,8,4,32,78,BB,Pass,,No,Published,,9,8,17,,,,44,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
40,62,5,5,NULL,2021,11245,BTECH_CE_SEM3#2021,3,BTBS301,T2051031245130,5103,0,,,72,72,7.5,4,30,72,BC,Pass,,No,Published,,9,9,18,,,,36,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
41,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372001,5103,0,,,95,95,10,4,40,95,EX,Pass,,No,Published,,10,10,19,,,,56,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
42,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372002,5103,0,,,77,77,8,4,32,77,BB,Pass,,No,Published,,8,10,19,,,,40,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
43,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372003,5103,0,,,91,91,10,4,40,91,EX,Pass,,No,Published,,9,10,20,,,,52,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
44,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372004,5103,0,,,83,83,8.5,4,34,83,AB,Pass,,No,Published,,9,9,17,,,,48,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
45,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372005,5103,0,,,81,81,8.5,4,34,81,AB,Pass,,No,Published,,8,10,17,,,,46,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
46,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372006,5103,0,,,78,78,8,4,32,78,BB,Pass,,No,Published,,8,10,17,,,,43,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
47,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372007,5103,0,,,84,84,8.5,4,34,84,AB,Pass,,No,Published,,10,10,19,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
48,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372008,5103,0,,,87,87,9,4,36,87,AA,Pass,,No,Published,,8,10,20,,,,49,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
49,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372009,5103,0,,,81,81,8.5,4,34,81,AB,Pass,,No,Published,,8,10,18,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
50,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372010,5103,0,,,71,71,7.5,4,30,71,BC,Pass,,No,Published,,9,10,18,,,,34,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
51,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372011,5103,0,,,68,68,7,4,28,68,CC,Pass,,No,Published,,10,10,18,,,,30,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
52,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372012,5103,0,,,84,84,8.5,4,34,84,AB,Pass,,No,Published,,10,10,18,,,,46,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
53,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372013,5103,0,,,67,67,7,4,28,67,CC,Pass,,No,Published,,8,10,17,,,,32,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
54,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372014,5103,0,,,73,73,7.5,4,30,73,BC,Pass,,No,Published,,8,10,17,,,,38,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
55,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372015,5103,0,,,66,66,7,4,28,66,CC,Pass,,No,Published,,8,9,18,,,,31,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
56,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372016,5103,0,,,90,90,9,4,36,90,AA,Pass,,No,Published,,8,10,20,,,,52,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
57,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372017,5103,0,,,74,74,7.5,4,30,74,BC,Pass,,No,Published,,8,10,17,,,,39,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
58,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372018,5103,0,,,91,91,10,4,40,91,EX,Pass,,No,Published,,10,10,17,,,,54,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
59,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372019,5103,0,,,81,81,8.5,4,34,81,AB,Pass,,No,Published,,9,10,17,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
60,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372020,5103,0,,,69,69,7,4,28,69,CC,Pass,,No,Published,,10,10,20,,,,29,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
61,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372021,5103,0,,,79,79,8,4,32,79,BB,Pass,,No,Published,,9,10,17,,,,43,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
62,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372022,5103,0,,,81,81,8.5,4,34,81,AB,Pass,,No,Published,,8,10,20,,,,43,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
63,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372023,5103,0,,,82,82,8.5,4,34,82,AB,Pass,,No,Published,,10,10,17,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
64,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372024,5103,0,,,74,74,7.5,4,30,74,BC,Pass,,No,Published,,8,10,18,,,,38,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
65,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372025,5103,0,,,76,76,8,4,32,76,BB,Pass,,No,Published,,9,10,20,,,,37,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
66,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372026,5103,0,,,83,83,8.5,4,34,83,AB,Pass,,No,Published,,8,10,19,,,,46,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
67,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372027,5103,0,,,91,91,10,4,40,91,EX,Pass,,No,Published,,10,10,18,,,,53,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
68,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372028,5103,0,,,83,83,8.5,4,34,83,AB,Pass,,No,Published,,8,10,20,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
69,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372029,5103,0,,,84,84,8.5,4,34,84,AB,Pass,,No,Published,,10,10,18,,,,46,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
70,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372030,5103,0,,,85,85,8.5,4,34,85,AB,Pass,,No,Published,,10,10,20,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
71,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372031,5103,0,,,88,88,9,4,36,88,AA,Pass,,No,Published,,9,10,18,,,,51,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
72,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372032,5103,0,,,89,89,9,4,36,89,AA,Pass,,No,Published,,9,10,18,,,,52,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
73,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372033,5103,0,,,75,75,7.5,4,30,75,BC,Pass,,No,Published,,8,10,18,,,,39,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
74,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372034,5103,0,,,86,86,9,4,36,86,AA,Pass,,No,Published,,8,10,20,,,,48,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
75,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372035,5103,0,,,86,86,9,4,36,86,AA,Pass,,No,Published,,8,10,17,,,,51,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
76,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372036,5103,0,,,85,85,8.5,4,34,85,AB,Pass,,No,Published,,9,10,19,,,,47,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
77,62,5,5,NULL,2021,11372,BTECH_ENTCENG_SEM3#2021,3,BTBS301,T2051031372037,5103,0,,,68,68,7,4,28,68,CC,Pass,,No,Published,,9,10,20,,,,29,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
78,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376001,5103,0,,,80,80,8,4,32,80,BB,Pass,,No,Published,,8,10,17,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
79,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376002,5103,0,,,77,77,8,4,32,77,BB,Pass,,No,Published,,7,10,18,,,,42,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
80,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376003,5103,0,,,78,78,8,4,32,78,BB,Pass,,No,Published,,7,10,20,,,,41,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
81,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376004,5103,0,,,59,59,6,4,24,59,DD,Pass,,No,Published,,8,10,17,,,,24,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
82,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376005,5103,0,,,62,62,6.5,4,26,62,CD,Pass,,No,Published,,7,10,18,,,,27,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
83,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376006,5103,0,,,85,85,8.5,4,34,85,AB,Pass,,No,Published,,7,10,18,,,,50,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
84,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376007,5103,0,,,72,72,7.5,4,30,72,BC,Pass,,No,Published,,7,10,18,,,,37,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
85,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376008,5103,0,,,84,84,8.5,4,34,84,AB,Pass,,No,Published,,8,10,20,,,,46,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
86,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376009,5103,0,,,76,76,8,4,32,76,BB,Pass,,No,Published,,8,10,17,,,,41,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
87,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376010,5103,0,,,74,74,7.5,4,30,74,BC,Pass,,No,Published,,8,10,17,,,,39,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
88,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376011,5103,0,,,75,75,7.5,4,30,75,BC,Pass,,No,Published,,8,10,17,,,,40,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
89,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376012,5103,0,,,95,95,10,4,40,95,EX,Pass,,No,Published,,10,10,20,,,,55,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
90,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376013,5103,0,,,86,86,9,4,36,86,AA,Pass,,No,Published,,9,10,20,,,,47,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
91,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376014,5103,0,,,78,78,8,4,32,78,BB,Pass,,No,Published,,8,10,17,,,,43,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
92,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376015,5103,0,,,78,78,8,4,32,78,BB,Pass,,No,Published,,10,10,18,,,,40,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
93,62,5,5,NULL,2021,11376,ELECTRONICS_SEM3#2021,3,BTBS301,T2051031376016,5103,0,,,93,93,10,4,40,93,EX,Pass,,No,Published,,10,10,20,,,,53,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
94,62,5,5,NULL,2021,11612,BTECH_MECHENG_SEM3#2021,3,BTBS301,T2051031612001,5103,0,,,83,83,8.5,4,34,83,AB,Pass,,No,Published,,10,10,18,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
95,62,5,5,NULL,2021,11612,BTECH_MECHENG_SEM3#2021,3,BTBS301,T2051031612002,5103,0,,,72,72,7.5,4,30,72,BC,Pass,,No,Published,,10,10,18,,,,34,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
96,62,5,5,NULL,2021,11612,BTECH_MECHENG_SEM3#2021,3,BTBS301,T2051031612003,5103,0,,,55,55,5.5,4,22,55,DE,Pass,,No,Published,,8,8,16,,,,23,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
97,62,5,5,NULL,2021,11612,BTECH_MECHENG_SEM3#2021,3,BTBS301,T2051031612004,5103,0,,,79,79,8,4,32,79,BB,Pass,,No,Published,,10,10,20,,,,39,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
98,62,5,5,NULL,2021,11612,BTECH_MECHENG_SEM3#2021,3,BTBS301,T2051031612005,5103,0,,,83,83,8.5,4,34,83,AB,Pass,,No,Published,,10,10,18,,,,45,,,,NULL,NULL,NULL,16:04.0,15:35.0,NULL,NULL,NULL,NULL
